Date,Contrôle,Lieux.nom,Lieux.oblast,ID
04.09.2022,Russie,Balakliya,Kharkiv,290
04.09.2022,Ukraine,Blahodativka,Kherson,291
05.09.2022,Contesté,Spartak,Donetsk,292
05.09.2022,Contesté,Novovoskresens’ke,Kherson,293
05.09.2022,Ukraine,Odnorobivka,Kharkiv,294
05.09.2022,Ukraine,Udy,Kharkiv,295
05.09.2022,Ukraine,Sosnivka,Kharkiv,296
05.09.2022,Ukraine,Borshchova,Kharkiv,297
05.09.2022,Ukraine,Kam’yanske,Zaporizhia,298
05.09.2022,Ukraine,Vil’ne Pole,Donetsk,299
05.09.2022,Ukraine,Kermenchyk,Donetsk,300
05.09.2022,Ukraine,Pyskunivka,Donetsk,301
05.09.2022,Ukraine,Kryva Luka,Donetsk,302
05.09.2022,Ukraine,Mykolaivka,Luhansk,303
05.09.2022,Ukraine,Myrne,Mykolaiv,304
05.09.2022,Russie,Tomina Balka,Kherson,305
05.09.2022,Ukraine,Blahodativka,Kherson,306
05.09.2022,Ukraine,Vysokopillya,Kherson,307
05.09.2022,Ukraine,Lyubymivka,Kherson,308
05.09.2022,Contesté,Bruskynske,Kherson,309
05.09.2022,Contesté,Shchaslyve,Kherson,310
05.09.2022,Contesté,Bezimenne,Kherson,311
06.09.2022,Contesté,Verbivka,Kharkiv,312
06.09.2022,Contesté,Balakliya,Kharkiv,313
06.09.2022,Contesté,Dovhen’ke,Kharkiv,314
06.09.2022,Contesté,Blahodativka,Kherson,315
06.09.2022,Contesté,Lyubomyrivka,Kherson,316
06.09.2022,Contesté,Ternovi Pody,Mykolaiv,317
06.09.2022,Contesté,Pravdyne,Mykolaiv,318
06.09.2022,Ukraine,Spirne,Donetsk,319
06.09.2022,Ukraine,Novovoskresens’ke,Kherson,320
06.09.2022,Ukraine,Sydorove,Donetsk,321
06.09.2022,Ukraine,Platonivka,Donetsk,322
06.09.2022,Ukraine,Mos’panove,Kharkiv,323
06.09.2022,Ukraine,Pryshyb,Kharkiv,324
06.09.2022,Ukraine,Asiyivka,Kharkiv,325
06.09.2022,Ukraine,Shmidtove,Mykolaiv,326
06.09.2022,Ukraine,Bezimenne,Kherson,327
06.09.2022,Ukraine,Shchaslyve,Kherson,328
06.09.2022,Ukraine,Hulyaypil’s’ke,Zaporizhia,329
06.09.2022,Ukraine,Poltavka,Zaporizhia,330
06.09.2022,Ukraine,Paraskoviyivka,Donetsk,331
06.09.2022,Russie,Dar’yivka,Kherson,332
06.09.2022,Russie,Hola Prystan’,Kherson,333
